American Express,1,רשת FRESHOP - שייק ב - 5 ₪ בלבד בתוספת נקודות
American Express,2,150 ₪ הנחה לזוג כרטיסים תמורת נקודות לאירוע הפרימיירה 'CHICAGO'
American Express,3,120 ₪  הנחה תמורת נקודות לכל רמות המחירים למופע שלThomas Anders & Modern Talking Band
American Express,4,NITHAN THAI- ארוחה זוגית ב - 390 ₪ בלבד (במקום 550 ₪ ) תמורת נקודות
American Express,5,רשת אייבורי - 100 ₪ הנחה תמורת נקודות ברכישה מעל 200 ₪
American Express,6,קבוצת גולף - עד 200 ₪ הנחה תמורת נקודות
American Express,7,Arcaffe - ארוחת בוקר זוגית במחיר 68 ₪
American Express,8,רשת Arcaffe - קפה איטלקי איכותי ומאפה צרפתי מבית ארקפה בייקרי תמורת נקודות
American Express,9,סופר פארם - 50 ₪ הנחה* על מגוון מוצרי החנות תמורת נקודות
American Express,10,לונה פארק תל אביב - 1+1 לכרטיס תמורת נקודות
American Express,11,"16% הנחה להשכרת רכבים בחו""ל בחברת שלמה SIXT"
American Express,12,יס פלאנט ורב חן - 1+1 למגוון סרטים
American Express,13,100 €  הנחה לאדם בהזמנת חבילת איסתא סקי
American Express,14,"כרטיס למופע הסטנדאפ ""ערב הסטנדאפ המשובח"" ב-35 ₪ (במקום 85 ₪) תמורת נקודות"
American Express,15,אתר CLINIQUE - הנחה של 50 ₪ ברכישה מעל 200 ₪
American Express,16,רולדין - עוגת שמרים ב - 15 ₪ בלבד תמורת הטבת בונוס
American Express,17,yes - מצטרפים עכשיו ונהנים מהתקנה ללא עלות (בשווי 99 ₪)
American Express,18,ארז קליימן - הופעת סטדנאפ ב 35 ₪ לכרטיס בתוספת נקודות
American Express,19,"מוני ובראבא במופע ""שוב ביחד""  ב- 84 ₪ לכרטיס במקום ב 184 ₪ תמורת נקודות"
American Express,20,"עיסוי למשך 50 דק' כולל כניסה למתקני הספא ברשת 'הולמס פלייס ספא', בעלות 219 ₪ (במקום 290 ₪)"
American Express,21,רשת FRESHOP - שייק ב - 5 ₪ בלבד בתוספת נקודות
American Express,22,150 ₪ הנחה לזוג כרטיסים תמורת נקודות לאירוע הפרימיירה 'CHICAGO'
American Express,23,120 ₪  הנחה תמורת נקודות לכל רמות המחירים למופע שלThomas Anders & Modern Talking Band
American Express,24,NITHAN THAI- ארוחה זוגית ב - 390 ₪ בלבד (במקום 550 ₪ ) תמורת נקודות
American Express,25,רשת אייבורי - 100 ₪ הנחה תמורת נקודות ברכישה מעל 200 ₪
American Express,26,קבוצת גולף - עד 200 ₪ הנחה תמורת נקודות
American Express,27,Arcaffe - ארוחת בוקר זוגית במחיר 68 ₪
